outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,8,16,80,0.0006839999999999
True,True,True,8,16,100,0.0006455
True,True,True,8,16,128,0.0005905
True,True,True,8,16,256,0.0015605
True,True,True,8,20,4,0.002143
True,True,True,8,20,8,0.0015535
True,True,True,8,20,16,0.001011
True,True,True,8,20,20,0.0007999999999999
True,True,True,8,20,32,0.000793
True,True,True,8,20,50,0.000716
True,True,True,8,20,64,0.000677
True,True,True,8,20,80,0.000606
True,True,True,8,20,100,0.000678
True,True,True,8,20,128,0.0005675
True,True,True,8,20,256,0.0012585
True,True,True,8,32,4,0.002039
True,True,True,8,32,8,0.0014415
True,True,True,8,32,16,0.001043
True,True,True,8,32,20,0.0008475
True,True,True,8,32,32,0.0008309999999999
True,True,True,8,32,50,0.0006505
True,True,True,8,32,64,0.0006785
True,True,True,8,32,80,0.000762
True,True,True,8,32,100,0.0005895
True,True,True,8,32,128,0.0006455
True,True,True,8,32,256,0.001822
True,True,True,8,50,4,0.0020435
True,True,True,8,50,8,0.0014375
True,True,True,8,50,16,0.000939
True,True,True,8,50,20,0.0008585
True,True,True,8,50,32,0.000811
True,True,True,8,50,50,0.0007214999999999
True,True,True,8,50,64,0.000757
True,True,True,8,50,80,0.0008575
True,True,True,8,50,100,0.0006015
True,True,True,8,50,128,0.0005824999999999
True,True,True,8,50,256,0.0012755
True,True,True,8,64,4,0.002077
True,True,True,8,64,8,0.0014605
True,True,True,8,64,16,0.0010085
True,True,True,8,64,20,0.0007509999999999
True,True,True,8,64,32,0.0007225
True,True,True,8,64,50,0.000731
True,True,True,8,64,64,0.0006715
True,True,True,8,64,80,0.0007019999999999
True,True,True,8,64,100,0.000603
True,True,True,8,64,128,0.000712
True,True,True,8,64,256,0.003411
True,True,True,8,80,4,0.0021809999999999
True,True,True,8,80,8,0.001469
True,True,True,8,80,16,0.000949
True,True,True,8,80,20,0.000936
True,True,True,8,80,32,0.0008135
True,True,True,8,80,50,0.000704
True,True,True,8,80,64,0.0007125
True,True,True,8,80,80,0.0007145
True,True,True,8,80,100,0.00065
True,True,True,8,80,128,0.0006375
True,True,True,8,80,256,0.00165
True,True,True,8,100,4,0.0024355
True,True,True,8,100,8,0.001656
True,True,True,8,100,16,0.0010575
True,True,True,8,100,20,0.0007645
True,True,True,8,100,32,0.0008495
True,True,True,8,100,50,0.0007535
True,True,True,8,100,64,0.0007084999999999
True,True,True,8,100,80,0.000627
True,True,True,8,100,100,0.000648
True,True,True,8,100,128,0.000675
True,True,True,8,100,256,0.001269
True,True,True,8,128,4,0.0022125
True,True,True,8,128,8,0.0017135
True,True,True,8,128,16,0.0010379999999999
True,True,True,8,128,20,0.0007905
True,True,True,8,128,32,0.0007855
True,True,True,8,128,50,0.0006375
True,True,True,8,128,64,0.0007505
True,True,True,8,128,80,0.0006349999999999
True,True,True,8,128,100,0.000694
True,True,True,8,128,128,0.0006835
True,True,True,8,128,256,0.003669
True,True,True,8,2048,4,0.002439
True,True,True,8,2048,8,0.001473
True,True,True,8,2048,16,0.0012155
True,True,True,8,2048,20,0.0009805
True,True,True,8,2048,32,0.0008805
True,True,True,8,2048,50,0.000707
True,True,True,8,2048,64,0.0006475
True,True,True,8,2048,80,0.000614
True,True,True,8,2048,100,0.0007895
True,True,True,8,2048,128,0.000707
True,True,True,8,2048,256,0.0014045
True,True,True,16,4,4,0.0021209999999999
True,True,True,16,4,8,0.001124
True,True,True,16,4,16,0.000946
True,True,True,16,4,20,0.001135
True,True,True,16,4,32,0.0007175
True,True,True,16,4,50,0.0009059999999999
True,True,True,16,4,64,0.0005265
True,True,True,16,4,80,0.000658
True,True,True,16,4,100,0.000589
True,True,True,16,4,128,0.000535
True,True,True,16,4,256,0.0013185
True,True,True,16,8,4,0.0020885
True,True,True,16,8,8,0.001119
True,True,True,16,8,16,0.0008495
True,True,True,16,8,20,0.0008665
True,True,True,16,8,32,0.0006399999999999
True,True,True,16,8,50,0.0006975
True,True,True,16,8,64,0.0005515
True,True,True,16,8,80,0.0005865
True,True,True,16,8,100,0.0005935
True,True,True,16,8,128,0.0005675
True,True,True,16,8,256,0.0012144999999999
True,True,True,16,16,4,0.0020395
True,True,True,16,16,8,0.001134
True,True,True,16,16,16,0.0008265
True,True,True,16,16,20,0.0008955
True,True,True,16,16,32,0.000733
True,True,True,16,16,50,0.0007015
True,True,True,16,16,64,0.000611
True,True,True,16,16,80,0.0005225
True,True,True,16,16,100,0.000682
True,True,True,16,16,128,0.0005795
True,True,True,16,16,256,0.0014815
True,True,True,16,20,4,0.003812
True,True,True,16,20,8,0.0011949999999999
True,True,True,16,20,16,0.000894
True,True,True,16,20,20,0.0008554999999999
True,True,True,16,20,32,0.0006565
True,True,True,16,20,50,0.0007019999999999
True,True,True,16,20,64,0.0005775
True,True,True,16,20,80,0.000557
True,True,True,16,20,100,0.000613
True,True,True,16,20,128,0.0005655
True,True,True,16,20,256,0.001418
True,True,True,16,32,4,0.0018855
True,True,True,16,32,8,0.0012014999999999
True,True,True,16,32,16,0.0008975
True,True,True,16,32,20,0.000878
True,True,True,16,32,32,0.000503
True,True,True,16,32,50,0.00069
True,True,True,16,32,64,0.000554
