outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,8,16,64,2.512319
True,True,True,8,16,80,2.4720055
True,True,True,8,16,100,2.123478
True,True,True,8,16,128,2.203387
True,True,True,8,16,256,2.315623
True,True,True,8,20,4,11.669887
True,True,True,8,20,8,7.677129000000001
True,True,True,8,20,16,3.9776035
True,True,True,8,20,20,3.190896
True,True,True,8,20,32,2.92818
True,True,True,8,20,50,2.471284
True,True,True,8,20,64,2.389418
True,True,True,8,20,80,2.2643630000000003
True,True,True,8,20,100,2.061072
True,True,True,8,20,128,2.268723
True,True,True,8,20,256,2.150303
True,True,True,8,32,4,11.3448975
True,True,True,8,32,8,7.382027000000001
True,True,True,8,32,16,3.7406735
True,True,True,8,32,20,3.070175
True,True,True,8,32,32,2.733969
True,True,True,8,32,50,2.3931820000000004
True,True,True,8,32,64,2.2426945
True,True,True,8,32,80,2.1519715
True,True,True,8,32,100,1.973604
True,True,True,8,32,128,2.1258730000000003
True,True,True,8,32,256,2.1175900000000003
True,True,True,8,50,4,11.0241975
True,True,True,8,50,8,7.3593255000000015
True,True,True,8,50,16,3.8239455
True,True,True,8,50,20,3.073488
True,True,True,8,50,32,2.718621
True,True,True,8,50,50,2.331586
True,True,True,8,50,64,2.220518
True,True,True,8,50,80,2.1416225
True,True,True,8,50,100,2.028582
True,True,True,8,50,128,2.113608
True,True,True,8,50,256,2.1354805
True,True,True,8,64,4,10.701234
True,True,True,8,64,8,6.959538
True,True,True,8,64,16,3.6348565
True,True,True,8,64,20,3.0928655000000003
True,True,True,8,64,32,2.7278965
True,True,True,8,64,50,2.3981945
True,True,True,8,64,64,2.1625345
True,True,True,8,64,80,2.0864355
True,True,True,8,64,100,1.905031
True,True,True,8,64,128,2.0074465000000004
True,True,True,8,64,256,2.103761
True,True,True,8,80,4,11.0112955
True,True,True,8,80,8,6.8031155000000005
True,True,True,8,80,16,3.7228845
True,True,True,8,80,20,3.0352550000000003
True,True,True,8,80,32,2.678885
True,True,True,8,80,50,2.302427
True,True,True,8,80,64,2.2126975
True,True,True,8,80,80,2.110326
True,True,True,8,80,100,2.038318
True,True,True,8,80,128,2.0143060000000004
True,True,True,8,80,256,2.2180305
True,True,True,8,100,4,11.280877
True,True,True,8,100,8,7.27342
True,True,True,8,100,16,3.763105
True,True,True,8,100,20,3.0388905
True,True,True,8,100,32,2.7923935
True,True,True,8,100,50,2.313211
True,True,True,8,100,64,2.202411
True,True,True,8,100,80,2.1206975
True,True,True,8,100,100,2.0587575
True,True,True,8,100,128,2.0958235
